nome,tipo_1,tipo_2,hp,attack,defense,special_attack,special_defense,speed,dex_entry,cluster,cluster_nome,cluster_descricao,dex_entry_tratada
gloom,grass,poison,60,65,70,85,75,40,"GLOOM releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this POKéMON is feeling calm and secure, it does not release its usual stinky aroma. Smells incredibly foul! However, around 1 out of 1,000 people enjoy sniffing its nose- bending stink. From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey. What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched. From its mouth GLOOM drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then  drools even more of its honey. Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma. A horribly noxious honey drools from its mouth. One whiff of the honey can result in memory loss. Some fans are said to enjoy this overwhelming stink, however. The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey. The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away. The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey. The smell from its drool-like syrup and the pollen on its petals is so bad, it may make opponents faint. It secretes a sticky, drool-like honey. Although sweet, it smells too repulsive to get very close. Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink. Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.",1,Equilibrado,"Pokémon equilibrados. Possuem atributos médios e consistentes, sem fraquezas gritantes. Costumam ser pokemons em fases iniciais de evolução.",gloom releas foul fragranc pistil flower face danger stench worsen pokemon feel calm secur releas usual stinki aroma smell incred foul howev around peopl enjoy snif nose bend stink mouth gloom drip honey smell absolut horribl appar love horrid stench sniff noxious fume drool even honey appear drool actual sweet honey sticki cling stubborn touch mouth gloom drip honey smell absolut horribl appar love horrid stench sniff noxious fume drool even honey gloom releas foul fragranc pistil flower face danger stench worsen pokemon feel calm secur releas usual stinki aroma horribl noxious honey drool mouth one whiff honey result memori loss fan said enjoy overwhelm stink howev fluid ooz mouth drool nectar use attract prey honey drool mouth smell atroci curl nose mile away fluid ooz mouth drool nectar use attract prey smell drool like syrup pollen petal bad may make oppon faint secret sticki drool like honey although sweet smell repuls get close smell incred foul howev around one thousand peopl enjoy snif nose bend stink pistil exud incred foul odor horrid stench caus faint distanc mile
vileplume,grass,poison,75,80,85,110,90,50,"Its petals are the largest in the world. It fiendishly scatters allergy-causing pollen from its petals. The bud bursts into bloom with a bang. It then starts scattering allergenic, poisonous pollen. It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen. It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen. By shaking its big petals, it scat­ ters toxic pollen into the air, turning the air yellow. The bud bursts into bloom with a bang. It then starts scattering allergenic, poi­ sonous pollen. Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them. Vileplume’s toxic pollen triggers atrocious allergy attacks. That’s why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be. VILEPLUME has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this POKéMON catches and devours them. Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud. VILEPLUME’s toxic pollen triggers atrocious allergy attacks. That’s why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be. In seasons when it produces more pollen, the air around a VILEPLUME turns yellow with the powder as it walks. The pollen is highly toxic and causes paralysis. The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up. Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen.",2,Colosso de Vitalidade,Os pesos-pesados. Destacam-se pelo HP altíssimo e grande resistência a danos especiais. Possuem os restantes dos atributos médios/altos.,petal largest world fiendish scatter allergi caus pollen petal bud burst bloom bang start scatter allergen poison pollen world largest petal everi step petal shake heavi cloud toxic pollen world largest petal everi step petal shake heavi cloud toxic pollen shake big petal scat ter toxic pollen air turn air yellow bud burst bloom bang start scatter allergen poi sonous pollen vileplum world largest petal use attract prey dous toxic spore prey immobil pokemon catch devour vileplum toxic pollen trigger atroci allergi attack advis never approach attract flower jungl howev pretti may vileplum world largest petal use attract prey dous toxic spore prey immobil pokemon catch devour flap broad flower petal scatter poison pollen flap sound loud vileplum toxic pollen trigger atroci allergi attack advis never approach attract flower jungl howev pretti may season produc pollen air around vileplum turn yellow powder walk pollen high toxic caus paralysi larger petal toxic pollen contain big head heavi hard hold petal largest world walk scatter extrem allergen pollen
paras,bug,grass,35,70,55,45,55,25,"Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life. PARAS has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this BUG POKéMON host. They are highly valued as a medicine for extending life. PARAS has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from the BUG POKéMON host. They are highly valued as a medicine for extending life. As its body grows, large mushrooms named tochukaso start sprouting out of its back. Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition. A PARAS has parasitic tochukaso mushrooms growing on its back. They grow by drawing nutrients from the host. They are valued as a medicine for long life. Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life. Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right. The tochukaso growing on this POKéMON's back orders it to extract juice from tree trunks. Mushrooms named tochukaso grow on its back. They grow along with the host Paras. The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off. As its body grows large, oriental mushrooms named tochukaso start sprouting out of its back. Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host. No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes. Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host. It is doused with mushroom spores when it is born. As its body grows, mushrooms sprout from its back. Growing out of the bug’s back are mushrooms called tochukaso. The mushrooms grow with the bug host. Mushrooms named tochukaso grow on its back. They grow along with the host PARAS. Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.",1,Equilibrado,"Pokémon equilibrados. Possuem atributos médios e consistentes, sem fraquezas gritantes. Costumam ser pokemons em fases iniciais de evolução.",mushroom call tochukaso sprout back dri powder make medicin use extend life para parasit mushroom grow back call tochukaso grow larg draw nutrient bug pokemon host high valu medicin extend life para parasit mushroom grow back call tochukaso grow larg draw nutrient bug pokemon host high valu medicin extend life bodi grow larg mushroom name tochukaso start sprout back burrow ground gnaw tree root mushroom back absorb nutrit para parasit tochukaso mushroom grow back grow draw nutrient host valu medicin long life para parasit mushroom grow back call tochukaso grow larg draw nutrient bug pokemon host high valu medicin extend life whether due lack moistur lack nutrient alola mushroom para grow quit right tochukaso grow pokemon back order extract juic tree trunk mushroom name tochukaso grow back grow along host para mushroom known tochukaso control bug even bug bug mushroom tell bug bodi grow larg orient mushroom name tochukaso start sprout back burrow suck tree root mushroom back grow draw ing nutrient bug host matter much eat mushroom grow back steal away nutrient consum burrow suck tree root mushroom back grow draw nutrient bug host dous mushroom spore born bodi grow mushroom sprout back grow bug back mushroom call tochukaso mushroom grow bug host mushroom name tochukaso grow back grow along host para sometim seen foot tree humid forest mushroom back call tochukaso present infant specimen instead emerg para matur
parasect,bug,grass,60,95,80,60,80,30,"A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places. It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines. The larger the mushroom on its back grows, the stronger the mush­ room spores it scatters. The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving. A mushroom grown larger than the host’s body controls PARASECT. It scatters poisonous spores. A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.  It scatters toxic spores from the mushroom cap. In China, the spores are used as herbal medicine. A mushroom grown larger than the host’s body controls Parasect. It scatters poisonous spores. It stays mostly in dark, damp places, the preference not of the bug, but of the big mush­ rooms on its back. PARASECT is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once. Its poisonous spores are also used in traditional medicine. Apparently, spores produced in Alola are not of very good quality. The large mushroom on its back controls it. It often fights over territory with Shiinotic. The bug host is drained of energy by the mushrooms on its back. They appear to do all the thinking. The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking. Mushroom-lacking specimens of this Pokémon lie unmoving in the forest, lending credence to the hypothesis that the large mushroom is in control of Parasect's actions. It stays mostly in dark, damp places, the preference not of the bug, but of the big mushroom on its back. It is controlled by a mushroom grown larger than the bug body. It is said to prefer damp places. PARASECT are known to infest the roots of large trees en masse and drain nutrients. When an infested tree dies, they move onto another tree all at once. Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once. The larger the mushroom on its back grows, the stronger the mushroom spores it scatters. When nothing's left to extract from the bug, the mushrooms on its back leave spores on the bug's egg.",1,Equilibrado,"Pokémon equilibrados. Possuem atributos médios e consistentes, sem fraquezas gritantes. Costumam ser pokemons em fases iniciais de evolução.",host parasit pair parasit mushroom taken host bug prefer damp place scatter toxic spore mushroom cap harvest spore steep boil prepar herbal medicin larger mushroom back grow stronger mush room spore scatter bug most dead mushroom back becom main bodi mushroom come bug stop move mushroom grown larger host bodi control parasect scatter poison spore host parasit pair parasit mushroom taken host bug prefer damp place scatter toxic spore mushroom cap china spore use herbal medicin mushroom grown larger host bodi control parasect scatter poison spore stay most dark damp place prefer bug big mush room back parasect known infest larg tree en mass drain nutrient lower trunk root infest tree die move onto anoth tree poison spore also use tradit medicin appar spore produc alola good qualiti larg mushroom back control often fight territori shiinot bug host drain energi mushroom back appear think bug host drain energi mushroom back mushroom appear think mushroom lack specimen pokemon lie unmov forest lend credenc hypothesi larg mushroom control parasect action stay most dark damp place prefer bug big mushroom back control mushroom grown larger bug bodi said prefer damp place parasect known infest root larg tree en mass drain nutrient infest tree die move onto anoth tree parasect known infest larg tree en mass drain nutrient lower trunk root infest tree die move onto anoth tree larger mushroom back grow stronger mushroom spore scatter noth left extract bug mushroom back leav spore bug egg
venonat,bug,poison,60,55,50,40,55,45,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light. Lives in the shadows of tall trees where it eats insects. It is attracted by light at night. Lives in the shadows of tall trees where it eats bugs. It is attracted by light at night. Its large eyes act as radars. In a bright place, you can see that they are clusters of many tiny eyes. VENONAT is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even miniscule prey. Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes. Poison oozes from all over its body. It catches and eats small bugs at night that are attracted by light. Poison oozes from all over its body. It catches and eats small bugs at night that are at­ tracted by light. Its coat of thin, stiff hair that covers its entire body is said to have evolved for protection. Its large eyes never fail to spot even miniscule prey. The small bugs it eats appear only at night, so it sleeps in a hole in a tree until night falls. Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey. Its eyes act as radar, enabling it to be active in darkness. The eyes can also shoot powerful beams. Its eyes also function as radar units. It catches and eats small bugs that hide in darkness.",1,Equilibrado,"Pokémon equilibrados. Possuem atributos médios e consistentes, sem fraquezas gritantes. Costumam ser pokemons em fases iniciais de evolução.",big eye actual cluster tini eye night kind drawn light live shadow tall tree eat insect attract light night live shadow tall tree eat bug attract light night larg eye act radar bright place see cluster mani tini eye venonat said evolv coat thin stiff hair cover entir bodi protect possess larg eye never fail spot even miniscul prey larg eye act radar bright place see cluster mani tini eye poison ooz bodi catch eat small bug night attract light poison ooz bodi catch eat small bug night tract light coat thin stiff hair cover entir bodi said evolv protect larg eye never fail spot even miniscul prey small bug eat appear night sleep hole tree night fall venonat said evolv coat thin stiff hair cover entir bodi protect possess larg eye never fail spot even minuscul prey eye act radar enabl activ dark eye also shoot power beam eye also function radar unit catch eat small bug hide dark
venomoth,bug,poison,70,65,60,90,75,90,"It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin. When it attacks, it flaps its large wings violently to scatter its poisonous powder all around. The powder on its wings is poisonous if it is dark in hue. If it is light in hue, it causes paralysis. The dust-like scales covering its wings are color coded to indicate the kinds of poison it has. The scales it scatters will paralyze anyone who touches them, making that person unable to stand. The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has. VENOMOTH are nocturnal--they only are active at night. Their favorite prey are insects that gather around streetlights, attracted by the light in the darkness. The powdery scales on its wings are hard to remove. They also contain poison that leaks out on contact. The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact. The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust. VENOMOTH is nocturnal - it is a POKéMON that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness. The powder on its wings is poisonous if it is dark in color. If it is light, it causes paralysis. When it attacks, it flaps its large wings violently to scatter its poi­ sonous powder all around. Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",4,Atacante de Elite,Focados em finalizar batalhas. Combinam alta velocidade com grande poder de ataque e ataque especial.,flutter wing scatter dustlik scale scale leach toxin contact skin attack flap larg wing violent scatter poison powder around powder wing poison dark hue light hue caus paralysi dust like scale cover wing color code indic kind poison scale scatter paralyz anyon touch make person unabl stand dustlik scale cover wing color code indic kind poison venomoth nocturn activ night favorit prey insect gather around streetlight attract light dark powderi scale wing hard remov also contain poison leak contact powderi scale wing hard remov skin also contain poison leak contact wing cover dustlik scale everi time flap wing loos high toxic dust venomoth nocturn pokemon becom activ night favorit prey small insect gather around streetlight attract light dark powder wing poison dark color light caus paralysi attack flap larg wing violent scatter poi sonous powder around venomoth nocturn pokemon becom activ night favorit prey small insect gather around streetlight attract light dark
diglett,ground,,10,55,25,35,45,95,"Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground. Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables. It travels through tunnels that it digs underground. It hates sunlight, so it comes out only after the sun goes down. A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight. Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak. It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest. It digs under­ ground and chews on tree roots, sticking its head out only when the sun isn't bright. If a DIGLETT DIGS through a field, it leaves the soil perfectly tilled and ideal for planting crops. DIGLETT are raised in most farms. The reason is simple - wherever this POKéMON burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables. It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot. If a DIGLETT digs through a field, it leaves the soil perfectly tilled and ideal for planting crops. Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in. Around their crops, farmers plant the kind of tree that Diglett like to eat as a way of getting Diglett to plow the fields for them. Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground. If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops. It prefers dark places. It spends most of its time underground, though it may pop up in caves. DIGLETT are raised in most farms. The reason is simple--wherever they burrow, the soil is left perfectly tilled for growing delicious crops.",3,Básico,"Estágios primários de evolução. Possuem potencial de crescimento, mas atributos base baixos.",live one yard underground feed plant root sometim appear ground diglett rais farm reason simpl wherev pokemon burrow soil left perfect till plant crop soil made ideal grow delici veget travel tunnel dig underground hate sunlight come sun goe pokemon live underground dark habitat repel bright sunlight skin thin expos light blood heat caus grow weak chew plant root underground farmer whose veget vulner find quit pest dig ground chew tree root stick head sun bright diglett dig field leav soil perfect till ideal plant crop diglett rais farm reason simpl wherev pokemon burrow soil left perfect till plant crop soil made ideal grow delici veget burrow ground shallow depth leav rais earth wake make easi spot diglett dig field leav soil perfect till ideal plant crop mani farmer cherish nurtur diglett drop enrich soil live around crop farmer plant kind tree diglett like eat way get diglett plow field live one yard underground feed plant root sometim appear aboveground diglett dig field leav soil perfect till ideal plant crop prefer dark place spend time underground though may pop cave diglett rais farm reason simpl wherev burrow soil left perfect till grow delici crop
dugtrio,ground,,35,100,50,50,70,120,"Extremely power­ ful, they can DIG through even the hardest ground to a depth of over 60 miles. These Diglett triplets dig over 60 miles below sea level. No one knows what it’s like underground. Dugtrio’s heads are sleek and smooth and incredibly hard. It can dig through any soil with its headbutts. Extremely powerful, they can dig through even the hardest ground to a depth of over 60 miles. Despite the closeness between this Pokémon and farmers and other people, no one has ever seen the parts of it concealed underground. DUGTRIO are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly. Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly. While the three of them normally get along splendidly, on rare occasions a huge fight will break out over which head gets to eat first. These DIGLETT triplets dig over 60 miles below sea level. No one knows what it's like underground. A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground. This set of triplets moves cooperatively. It’s the power of teamwork that enables this Pokémon to dig to a depth of 60 miles. A team of triplets that can burrow to a depth of 60 miles. It’s reported that this triggers an earthquake. A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground. In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction. Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow. A team of triplets that can burrow over 60 MPH. Due to this, some people think it's an earthquake. Because the triplets originally split from one body, they think exactly alike. They work cooperatively to burrow endlessly through the ground. Its three heads move alternately, driving it through tough soil to depths of over 60 miles.",4,Atacante de Elite,Focados em finalizar batalhas. Combinam alta velocidade com grande poder de ataque e ataque especial.,extrem power ful dig even hardest ground depth mile diglett triplet dig mile sea level one know like underground dugtrio head sleek smooth incred hard dig soil headbutt extrem power dig even hardest ground depth mile despit close pokemon farmer peopl one ever seen part conceal underground dugtrio actual triplet emerg one bodi result triplet think exact like two triplet work cooper burrow endless dugtrio actual triplet emerg one bodi result triplet think exact like two triplet work cooper burrow endless three normal get along splendid rare occas huge fight break head get eat first diglett triplet dig mile sea level one know like underground team diglett triplet trigger huge earthquak burrow mile underground set triplet move cooper power teamwork enabl pokemon dig depth mile team triplet burrow depth mile report trigger earthquak team diglett triplet trigger huge earthquak burrow mile underground battl dig ground strike unsuspect foe unexpect direct three head bob separ loosen soil nearbi make easier burrow team triplet burrow mph due peopl think earthquak triplet origin split one bodi think exact alik work cooper burrow endless ground three head move altern drive tough soil depth mile
meowth,normal,,40,45,35,40,40,90,"It loves shiny things. It often fights with Murkrow over prey they’re both trying to catch. Appears to be more active at night. It loves round and shiny things. It can’t stop itself from picking them up. Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change. It loves anything that shines. It especially adores coins that it picks up and secretly hoards. Adores round objects. It wanders the streets on a nightly basis to look for dropped loose change. It loves anything that shines. It especially adores coins that it picks up and se­ cretly hoards. It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change. It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures. MEOWTH withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this POKéMON loves shiny coins that glitter with light. It is fascinated by round objects. It can't stop playing with them until it tires and falls asleep. It loves coins, so if you give it one, you can make friends with Meowth easily. But it’s fickle, so you can’t count on that friendship lasting. Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light. All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow. It is fascinated by round objects. It can’t stop playing with them until it tires and falls asleep. It loves things that sparkle. When it sees a shiny object, the gold coin on its head shines too. MEOWTH withdraw their sharp claws into their paws to silently sneak about. For some reason, this POKéMON loves shiny coins that glitter with light. It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth. Appears to be more active at night. It loves round and shiny things. It can't stop from picking them up. When visiting a junkyard, you may catch sight of it having an intense fight with Murkrow over shiny objects. It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.",3,Básico,"Estágios primários de evolução. Possuem potencial de crescimento, mas atributos base baixos.",love shini thing often fight murkrow prey tri catch appear activ night love round shini thing stop pick ador circular object wander street night basi look drop loos chang love anyth shine especi ador coin pick secret hoard ador round object wander street night basi look drop loos chang love anyth shine especi ador coin pick se cret hoard lie around day becom activ near dusk night wander citi search loos chang love collect shini thing good mood might even let trainer look hoard treasur meowth withdraw sharp claw paw slinkili sneak without make incrimin footstep reason pokemon love shini coin glitter light fascin round object stop play tire fall asleep love coin give one make friend meowth easili fickl count friendship last meowth withdraw sharp claw paw slinkili sneak without make incrimin footstep reason pokemon love shini coin glitter light sleep daytim night patrol territori eye aglow fascin round object stop play tire fall asleep love thing sparkl see shini object gold coin head shine meowth withdraw sharp claw paw silent sneak reason pokemon love shini coin glitter light wash face regular keep coin forehead spotless get along galarian meowth appear activ night love round shini thing stop pick visit junkyard may catch sight intens fight murkrow shini object nocturn natur spot someth shini eye glitter bright
persian,normal,,65,70,60,65,65,115,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed. The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen. Its lithe muscles allow it to walk without making a sound. It attacks in an instant. Many adore it for its sophisticated air. However, it will lash out and scratch for little reason. A PERSIAN’s six bold whiskers sense air movements to determine what is in its vicinity. It becomes docile if grabbed by the whiskers. Although the jewel on its forehead appears to be a different color than those of Alolan Persian, it’s mostly made of the same material. A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk. Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers. This Pokémon is popular with rich people. It’s also targeted by hunters who are after the jewel in its forehead. Has a vicious temperament. Beware if it raises its tail straight up. It is a signal that it is about to pounce and bite. PERSIAN has six bold whiskers that give it a look of toughness. The whiskers   sense air movements to determine what is in the POKéMON’s surrounding vicinity. It becomes docile if grabbed by the whiskers. Behind its lithe, elegant appearance lies a barbaric side. It will tear apart its prey on a mere whim. Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain. It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds. It has a high opinion of itself, although not to the same extent as the Alolan Persian. It’s quite difficult to make friends with this Pokémon. Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",4,Atacante de Elite,Focados em finalizar batalhas. Combinam alta velocidade com grande poder de ataque e ataque especial.,get pride pokemon warm take lot effort claw moment get annoy gem forehead glow walk grace eleg proud queen lith muscl allow walk without make sound attack instant mani ador sophist air howev lash scratch littl reason persian six bold whisker sens air movement determin vicin becom docil grab whisker although jewel forehead appear differ color alolan persian most made materi haughti pokemon among fan size jewel forehead topic much talk persian six bold whisker give look tough whisker sens air movement determin pokemon surround vicin becom docil grab whisker pokemon popular rich peopl also target hunter jewel forehead vicious tempera bewar rais tail straight signal pounc bite persian six bold whisker give look tough whisker sens air movement determin pokemon surround vicin becom docil grab whisker behind lith eleg appear lie barbar side tear apart prey mere whim eleg refin behavior clash barbar perrserk relationship two one mutual disdain violent tempera attack anyth look eye sharp claw inflict deep wound high opinion although extent alolan persian quit difficult make friend pokemon although fur mani admir tough rais pet fickl mean
psyduck,water,,50,52,48,65,50,55,"Overwhelmed by enigmatic abilities, it suffers a constant headache. It sometimes uses mysterious powers. It has mystical powers but doesn’t recall that it has used them. That is why it always looks puzzled. It has mystical powers but doesn't recall that it has used them. That is why it always looks puzzled. It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers. Using psychokinesis gives it a headache, so it normally passes the time spacing out and doing as little as possible. If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep. This Pokémon is troubled by constant headaches. The more pain it’s in, the more powerful its psychokinesis becomes. Suffers perpetual headaches. If the agony grows too great, Psyduck's latent power erupts, contrary to Psyduck's intent. Ergo, I am exploring ways to ease the pain. If it uses its mysterious power, PSYDUCK can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep. It never remembers using its odd powers, so it always tilts its head in puzzlement. It has been found that its brain cells are 10 times more active when Psyduck is experiencing a headache. When headaches stimulate its brain cells, which are usually inactive, it can use a mysterious power. Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while. The only time it can use its psy­ chic power is when its sleeping brain cells happen to wake. As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to. While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers. If its usual headache worsens, it starts exhibiting odd powers. It can’t remember doing so, however. As Psyduck gets stressed out, its headache gets progressively worse. It uses intense psychic energy to overwhelm those around it. Always tormented by headaches. It uses psychic powers, but whether it intends to do so is not known. Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars. Always tormented by headaches. It uses psychic powers, but it is not known if it intends to do so. If its chronic headache peaks, it may exhibit odd powers. It seems unable to recall such an episode. PSYDUCK uses a mysterious power. When it does so, this POKéMON  generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars. When its headache intensifies, it starts using strange powers. However, it has no recollection of its powers, so it always looks befuddled and bewildered.",3,Básico,"Estágios primários de evolução. Possuem potencial de crescimento, mas atributos base baixos.",overwhelm enigmat abil suffer constant headach sometim use mysteri power mystic power recal use alway look puzzl mystic power recal use alway look puzzl constant wrack headach headach turn intens begin use mysteri power use psychokinesi give headach normal pass time space littl possibl use mysteri power psyduck rememb done appar form memori event goe alter state much like deep sleep pokemon troubl constant headach pain power psychokinesi becom suffer perpetu headach agoni grow great psyduck latent power erupt contrari psyduck intent ergo explor way eas pain use mysteri power psyduck rememb done appar form memori event goe alter state much like deep sleep never rememb use odd power alway tilt head puzzlement found brain cell time activ psyduck experienc headach headach stimul brain cell usual inact use mysteri power psyduck constant beset headach pokemon let strang power erupt appar pain subsid time use psi chic power sleep brain cell happen wake result headach fierc caus cri sometim use psychokinesi without mean lull enemi vacant look wili pokemon use psychokinet power usual headach worsen start exhibit odd power rememb howev psyduck get stress headach get progress wors use intens psychic energi overwhelm around alway torment headach use psychic power whether intend known psyduck use mysteri power pokemon generat brain wave suppos seen sleeper discoveri spur controversi among scholar alway torment headach use psychic power known intend chronic headach peak may exhibit odd power seem unabl recal episod psyduck use mysteri power pokemon generat brain wave suppos seen sleeper discoveri spur controversi among scholar headach intensifi start use strang power howev recollect power alway look befuddl bewild
